Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Бургеры;;;;;;Ккал;Белки;Жиры;Углеводы
Дракон;406,927;13,036;8,918;45,7;182;223,5862637;7,162637363;4,9;25,10989011
Ика маки;462,492;13,672;12,798;51,122;197;234,7675127;6,940101523;6,496446701;25,95025381
Каеси бетакон маки;642,648;14,856;26,359;63,322;217;296,1511521;6,846082949;12,14700461;29,18064516
Калифорния с лососем (грин);454,703;16,838;12,435;45,798;192;236,8244792;8,769791667;6,4765625;23,853125
Калифорния с креветкой (ночь);362,979;6,653;10,066;7,562;172;211,0343023;3,868023256;5,852325581;4,396511628
Калифорния сяке;307,458;13,026;10,455;43,842;192;160,134375;6,784375;5,4453125;22,834375
Калифорния;389,284;9,526;8,005;46,842;192;202,7520833;4,961458333;4,169270833;24,396875
Канадский ролл;583,29;20,256;17,808;64,688;229;254,7117904;8,845414847;7,776419214;28,24803493
Каппа маки;266,762;3,409;0,298;39,325;102;261,5313725;3,342156863;0,292156863;38,55392157
Кунсей бетакон маки;647,172;15,425;28,42;59,098;215;301,0102326;7,174418605;13,21860465;27,48744186
Кунсей бонито маки;446,282;14,115;10,641;51,263;190;234,8852632;7,428947368;5,600526316;26,98052632
Кунсей маки;462,59;11,493;10,518;59,018;186;248,7043011;6,179032258;5,65483871;31,73010753
Кунсей унаги макиу;443,272;14,398;12,292;46,04;202;219,4415842;7,127722772;6,085148515;22,79207921
Куроширо маки;563,794;16,493;19,538;59,408;214;263,4551402;7,707009346;9,129906542;27,76074766
Лава микс;538,179;9,459;23,592;53,221;207;259,9898551;4,569565217;11,39710145;25,71062802
Лава с креветкой;533,639;11,699;22,522;51,801;202;264,1777228;5,791584158;11,14950495;25,64405941
Лава с угрем;548,852;9,23;22,867;54,181;202;271,7089109;4,569306931;11,32029703;26,82227723
Лава;587,499;12,628;25,055;59,806;202;290,8410891;6,251485149;12,40346535;29,60693069
Майами;498,73;15,233;12,628;59,802;230;216,8391304;6,623043478;5,490434783;26,00086957
Небраска;408,956;5,275;1,348;55,129;168;243,4261905;3,139880952;0,802380952;32,81488095
Ногано;563,808;9,471;21,694;61,202;190;296,7410526;4,984736842;11,41789474;32,21157895
Окинава;594,267;9,925;28,213;10,584;202;294,1915842;4,913366337;13,96683168;5,23960396
Пеппер ролл;287,837;3,22;0,747;34,466;102;282,1931373;3,156862745;0,732352941;33,79019608
Сакура маки;510,015;16,945;13,328;59,104;213;239,443662;7,955399061;6,257276995;27,74835681
Санго;583,018;12,196;22,557;61,341;217;268,6718894;5,620276498;10,39493088;28,26774194
Сиафуд маки;408,969;8,769;8,678;51,4;177;231,0559322;4,954237288;4,902824859;29,03954802
Сити ролл;556,037;19,844;13,922;65,448;237;234,6147679;8,372995781;5,874261603;27,61518987
Скин маки;514,683;11,547;4,651;59,049;179;287,5324022;6,450837989;2,598324022;32,98826816
Сырный ролл;575,463;18,872;18,231;61,684;211;272,7312796;8,944075829;8,64028436;29,23412322
